Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Michael Rucker","SEA",27.2,74,88.59324264526367,106.4,111.3,10.135135135135135,8,0.10810811,26,0.35135135,6.180723486332252,4.215115126953725,"Michael Rucker",19454,621074
"Tyler Kinley","- - -",23,64,85.60322607717207,102.7,108.3,21.032258064516128,5,0.078125,20,0.3125,3.52174007503908,4.262264847174764,"Tyler Kinley",18297,641755
"Chase Silseth","- - -",23,64,88.05000052913543,103,113.7,14.790322580645162,5,0.078125,21,0.328125,3.913044715423831,4.289955849511154,"Chase Silseth",30074,681217
"Trevor Richards","CHW",43.1,137,90.5397061179666,103.2,115.4,20.779411764705884,12,0.08759124,55,0.40145985,4.153846647118734,4.331784062570372,"Trevor Richards",19309,670950
"Tim Hill","NYY",22,72,87.25277752346463,104.1,109.8,-4.347222222222222,4,0.05555556,30,0.41666667,4.909092279012921,4.3784850095360275,"Tim Hill",16814,657612
"Steven Okert","HOU",21,59,89.52280707108348,103.2,111.1,19.75438596491228,7,0.11864407,29,0.49152542,1.7142859648685433,4.382337628778099,"Steven Okert",13580,595345
"Wandy Peralta","SDP",26,90,87.11294097900391,102.6,110.8,11.964705882352941,4,0.04444444,32,0.35555556,6.230770437763521,4.405881231814943,"Wandy Peralta",14295,593974
"Andrew Kittredge","BAL",23.1,84,88.52469116964458,104.6,110,16.37037037037037,5,0.05952381,31,0.36904762,2.7000004023314124,4.4242984093191975,"Andrew Kittredge",12828,552640
"AJ Blubaugh","HOU",35.1,96,89.67473770944696,105.7,111,21.385416666666668,13,0.13541667,40,0.41666667,3.3113211587671354,4.451630944022318,"AJ Blubaugh",31764,805123
"Tommy Nance","MIN",24.2,68,89.41470550088322,103.6,107.7,7.955882352941177,5,0.07352941,29,0.42647059,4.013514111573721,4.468984153592826,"Tommy Nance",19178,667297
"A.J. Minter","- - -",25.2,77,86.62800028483073,103.6,107.6,19.56,8,0.1038961,29,0.37662338,3.1558448642840715,4.4819355850879985,"A.J. Minter",18655,621345
"Raisel Iglesias","ATL",26.2,69,89.12753583382869,105.1,111.8,14.144927536231885,11,0.15942029,30,0.43478261,3.037500194627804,4.494345168881324,"Raisel Iglesias",17130,628452
"Luis Gastelum","STL",33,82,87.50243945238067,103.5,109.1,11.695121951219512,7,0.08536585,27,0.32926829,4.090909456664899,4.49765360189748,"Luis Gastelum",33027,703725
"Tanner Gordon","COL",21,67,91.8046142578125,104.1,112.4,22.446153846153845,6,0.08955224,31,0.46268657,3.428571584273365,4.51790819835384,"Tanner Gordon",27669,685299
"Justin Bruihl","STL",29,93,86.14000108506944,102.1,110.9,12.677777777777777,8,0.08602151,29,0.31182796,3.7241388380742326,4.550236005403458,"Justin Bruihl",23779,677865
"Elvis Alvarado","ATH",25.2,67,90.22575771447384,104.2,110.2,18.03030303030303,5,0.07462687,31,0.46268657,2.805195219944272,4.625208462179734,"Elvis Alvarado",21662,665660
